Date,value
10/31/1920,1361.872222
11/30/1920,1397.022222
12/31/1920,1409.877778
1/31/1921,1441.338889
2/28/1921,1545.55
3/31/1921,1599.361111
4/30/1921,1641.111111
5/31/1921,1760.388889
6/30/1921,1915.755556
7/31/1921,1800.011111
8/31/1921,1651.894444
9/30/1921,1561.988889
10/31/1921,1350.686207
11/30/1921,1366.475862
12/31/1921,1437.32069
1/31/1922,1536.741379
2/28/1922,1611.327586
3/31/1922,1622.724138
4/30/1922,1648.537931
5/31/1922,1802.237931
6/30/1922,1995.331034
7/31/1922,1905.424138
8/31/1922,1758.506897
9/30/1922,1659.665517
10/31/1922,1361.872222
11/30/1922,1397.022222
12/31/1922,1409.877778
1/31/1923,1441.338889
2/28/1923,1545.55
3/31/1923,1599.361111
4/30/1923,1641.111111
5/31/1923,1760.388889
6/30/1923,1915.755556
7/31/1923,1800.011111
8/31/1923,1651.894444
9/30/1923,1561.988889
10/31/1923,1088.590909
11/30/1923,1085.590909
12/31/1923,1077.554545
1/31/1924,1059.245455
2/29/1924,1079.290909
3/31/1924,1092.072727
4/30/1924,1045.872727
5/31/1924,1084.8
6/30/1924,1051.595455
7/31/1924,929.7681818
8/31/1924,816.6090909
9/30/1924,751.4909091
10/31/1924,1330.566667
11/30/1924,1345.006667
12/31/1924,1341.086667
1/31/1925,1345.393333
2/28/1925,1435.926667
3/31/1925,1500.02
4/30/1925,1535.153333
5/31/1925,1663.246667
6/30/1925,1757.933333
7/31/1925,1630.34
8/31/1925,1486.386667
9/30/1925,1400.713333
10/31/1925,1456.541176
11/30/1925,1461.741176
12/31/1925,1463.523529
1/31/1926,1463.182353
2/28/1926,1527.347059
3/31/1926,1576.223529
4/30/1926,1559.3
5/31/1926,1633.458824
6/30/1926,1610.5
7/31/1926,1444.570588
8/31/1926,1290.9
9/30/1926,1206.458824
10/31/1926,1361.872222
11/30/1926,1397.022222
12/31/1926,1409.877778
1/31/1927,1441.338889
2/28/1927,1545.55
3/31/1927,1599.361111
4/30/1927,1641.111111
5/31/1927,1760.388889
6/30/1927,1915.755556
7/31/1927,1800.011111
8/31/1927,1651.894444
9/30/1927,1561.988889
10/31/1927,1330.566667
11/30/1927,1345.006667
12/31/1927,1341.086667
1/31/1928,1345.393333
2/29/1928,1435.926667
3/31/1928,1500.02
4/30/1928,1535.153333
5/31/1928,1663.246667
6/30/1928,1757.933333
7/31/1928,1630.34
8/31/1928,1486.386667
9/30/1928,1400.713333
10/31/1928,1088.590909
11/30/1928,1085.590909
12/31/1928,1077.554545
1/31/1929,1059.245455
2/28/1929,1079.290909
3/31/1929,1092.072727
4/30/1929,1045.872727
5/31/1929,1084.8
6/30/1929,1051.595455
7/31/1929,929.7681818
8/31/1929,816.6090909
9/30/1929,751.4909091
10/31/1929,1088.590909
11/30/1929,1085.590909
12/31/1929,1077.554545
1/31/1930,1059.245455
2/28/1930,1079.290909
3/31/1930,1092.072727
4/30/1930,1045.872727
5/31/1930,1084.8
6/30/1930,1051.595455
7/31/1930,929.7681818
8/31/1930,816.6090909
9/30/1930,751.4909091
10/31/1930,1088.590909
11/30/1930,1085.590909
12/31/1930,1077.554545
1/31/1931,1059.245455
2/28/1931,1079.290909
3/31/1931,1092.072727
4/30/1931,1045.872727
5/31/1931,1084.8
6/30/1931,1051.595455
7/31/1931,929.7681818
8/31/1931,816.6090909
9/30/1931,751.4909091
10/31/1931,1361.872222
11/30/1931,1397.022222
12/31/1931,1409.877778
1/31/1932,1441.338889
2/29/1932,1545.55
3/31/1932,1599.361111
4/30/1932,1641.111111
5/31/1932,1760.388889
6/30/1932,1915.755556
7/31/1932,1800.011111
8/31/1932,1651.894444
9/30/1932,1561.988889
10/31/1932,1456.541176
11/30/1932,1461.741176
12/31/1932,1463.523529
1/31/1933,1463.182353
2/28/1933,1527.347059
3/31/1933,1576.223529
4/30/1933,1559.3
5/31/1933,1633.458824
6/30/1933,1610.5
7/31/1933,1444.570588
8/31/1933,1290.9
9/30/1933,1206.458824
10/31/1933,1088.590909
11/30/1933,1085.590909
12/31/1933,1077.554545
1/31/1934,1059.245455
2/28/1934,1079.290909
3/31/1934,1092.072727
4/30/1934,1045.872727
5/31/1934,1084.8
6/30/1934,1051.595455
7/31/1934,929.7681818
8/31/1934,816.6090909
9/30/1934,751.4909091
10/31/1934,1361.872222
11/30/1934,1397.022222
12/31/1934,1409.877778
1/31/1935,1441.338889
2/28/1935,1545.55
3/31/1935,1599.361111
4/30/1935,1641.111111
5/31/1935,1760.388889
